編號,成分名稱,CAS_Number,備註
630,"1,4 -Diamino-2-methoxy-9,10-anthracenedione (Disperse Red 11) and its salts 不得使用於染髮用途化粧品",2872-48-2,
631,"1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone (Disperse Blue 7) and its salts 不得使用於染髮用途化粧品",3179-90-6,
632,1-[(3-Aminopropyl)amino]-4-(methylamino)anthraquinone and its salts 不得使用於染髮用途化粧品,22366-99-0,
157,Monofluoroacetamide,640-19-7,
633,"N-[6-[(2-Chloro-4-hydroxyphenyl)imino]-4-methoxy-3-oxo-1,4-cyclohexadien-1-yl]acetamide (HC Yellow No 8) and its salts 不得使用於染髮用途化粧品",66612-11-1,
634,"[6-[[3-Chloro-4-(methylamino)phenyl]imino]-4-methyl-3-oxocyclohexa-1,4-dien-1-yl]urea (HC Red No 9) and its salts 不得使用於染髮用途化粧品",56330-88-2,
635,"Phenothiazin-5-ium, 3,7-bis(dimethylamino)- and its salts 不得使用於染髮用途化粧品",61-73-4,
636,"4,6-Bis(2-hydroxyethoxy)-m-phenylenediamine and its salts 不得使用於染髮用途化粧品",94082-85-6,
637,"5-Amino-2,6-dimethoxy-3-hydroxypyridine and its salts 不得使用於染髮用途化粧品",104333-03-1,
638,4-Diethylamino-o-toluidine and its salts 不得使用於染髮用途化粧品,148-71-0/24828-38-4/2051-79-8,
639,"Toluene-3,4-Diamine and its salts 不得使用於染髮用途化粧品",496-72-0,
640,2-Nitro-p-phenylenediamine and its salts 不得使用於染髮用途化粧品,5307-14-2/18266-52-9,
641,"Phenazinium, 3,7-diamino-2,8-dimethyl-5-phenyl- and its salts 不得使用於染髮用途化粧品",477-73-6,
642,3-Hydroxy-4-[(2-hydroxynaphthyl)azo]-7-nitronaphthalene-1-sulphonic acid and its salts 不得使用於染髮用途化粧品,16279-54-2/5610-64-0,
158,1-and 2-Naphthylamines and their salts,91-59-8/134-32-7,
643,"3-[[4-[(2-Hydroxyethyl)methylamino]-2-nitrophenyl]amino]-1,2-propanediol and its salts 不得使用於染髮用途化粧品",173994-75-7/102767-27-1,
644,"3-[[4-[(2-Hydroxyethyl)amino]-2-nitrophenyl]amino]-1,2-propanediol and its salts不得使用於染髮用途化粧品",114087-41-1/114087-42-2,
645,"Ethanaminium, N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,5-cyclohexadien-1-ylidine]-N-ethyl-, and its salts 不得使用於染髮用途化粧品",2390-60-5,
646,牛海綿狀腦病(Bovine Spongiform Encephalopathy)發生國家之牛、羊組織製成之原料 (羊毛脂(Lanolin)、英國產以外之乳製品、英國產以外經鹼性處理之明膠(Gelatin)，以及經破壞致病原處理之脂肪酸(Fatty acid)、胺基酸(Amino acid)及甘油(Glycerin)等牛脂(Tallow)衍生物原料不在此限)(1)牛海綿狀腦病發生之國家，以行政院農業委員會公告動物傳染病非疫區及疫區之國家(地區)為準。(2)牛、羊組織，包括：腦(Brain)、脊椎(Spinal cord)、眼(Eye)、迴腸(Ileum) 、淋巴結(Lymph nodes)、近端結腸(Proximal Colon)、脾臟(Spleen)、扁桃腺(Tonsil)、硬腦膜(Dura mater)、松果腺(Pineal gland)、胎盤(Placenta)、腦脊椎液(Cerebrospinal fluid)、腦下垂體(Pituitary gland)、腎上腺(Adrenal gland)、遠端結腸(Distal colon)、鼻黏膜(Nasal mucosa)、末梢神經(Peripheral nerves)、骨髓(Bone marrow)、肝臟(Liver)、肺臟(Lung)、胰臟(Pancreas)、胸腺(Thymus gland)。,,
647,Alanroot oil（Inula helenium L.）（土木香根油）,97676-35-2,
648,"Rauwolfia serpentina L., alkaloids and their salts（蛇根木，生物鹼及其鹽類）",90106-13-1,
649,Yohimbine and its salts,146-48-5,
650,Tripterygium wilfordii Hook.f.（雷公藤）,-,
376,Sulfallate,95-06-7,
159,Tetracarbonylnickel,13463-39-3,
651,Aminocaproic acid（INN）and its salts,60-32-2,
652,3- and 4-(4-Hydroxy-4-methylpentyl) cyclohex-3-ene-1-carbaldehyde (HICC),51414-25-6/31906-04-4,
653,"2,6-Dihydroxy-4-methyl-benzaldehyde (atranol)",526-37-4,
654,"3-Chloro-2,6-Dihydroxy-4-methyl-benzaldehyde (chloroatranol)",57074-21-2,
655,Perfluorooctane sulfonic acid; heptadecafluorooctane-1- sulfonic acid [1]Potassium perfluorooctanesulfonate; potassium heptadecafluorooctane-1-sulfonate [2]Diethanolamine perfluorooctane sulfonate [3]Ammonium perfluorooctane sulfonate; ammonium heptadecafluorooctanesulfonate [4]Lithium perfluorooctane sulfonate; lithium heptadecafluorooctanesulfonate [5],1763-23-1 [1]2795-39-3 [2] 70225-14-8 [3]29081-56-9 [4]29457-72-5 [5],
656,Ammonium pentadecafluorooctanoate,3825-26-1,
657,Perfluorooctanoic acid,335-67-1,
658,Nonadecafluorodecanoic acid [1]Ammonium nonadecafluorodecanoate [2]Sodium nonadecafluorodecanoate [3],335-76-2 [1]3108-42-7 [2]3830-45-3 [3],
659,Perfluorononan-1-oic acid [1]and its sodium [2]and ammonium [3] salts,375-95-1 [1]21049-39-8 [2]4149-60-4 [3],
16,Vinyl chloride monomer,75-01-4,
160,4-Nitrobiphenyl,92-93-3,
161,Nitrofen,1836-75-5,
162,N-Nitroso-N-methylurea,684-93-5,
163,Pentachlorophenol and its alkali salts,87-86-5/131-52-2/7778- 73-6,
164,Phosgene,75-44-5,
165,Phosphine,7803-51-2,
166,Phosphorus trichloride,7719-12-2,
167,Phthalic anhydride,85-44-9,
168,Polychlorinated biphenyls,1336-36-3,
169,Propargyl alcohol,107-19-7,
17,"2,2'-Dihydroxy-3,3',5,5',6,6'-hexachlorodiphenylmethane (Hexachlorophene (INN))",70-30-4,
170,2-Methylaziridine,75-55-8,
171,(Epoxyethyl)benzene (Styrene oxide),96-09-3,
172,Tetrachloroethylene,127-18-4,
173,Thiosemicarbazide (1-amino-2-thiourea),79-19-6,
174,m-Tolylidene diisocyanate (Toluene diisocyanate),26471-62-5,
175,"4-Methyl-m-phenylene diisocyanate (Toluene 2,4- diisocyanate)",584-84-9,
176,Trichloroethylene,79-01-6,
177,"α,α,α-Trichlorotoluene",98-07-7,
178,"2,4,5-Trichlorophenol",95-95-4,
179,"2,4,6-Trichlorophenol",88-06-2,
18,Tretinoin (INN) (retinoic acid and its salts),302-79-4,
180,"1,2,3-Trichloropropane",96-18-4,
181,Trinickel disulfide,12035-72-2,
182,"Tris(2,3-dibromopropyl)phosphate",126-72-7,
183,Bromoethylene (Vinyl bromide),593-60-2,
184,Acetonitrile,75-05-8,
185,Anthracene oil,120-12-7,
186,Benzyl butyl phthalate (BBP),85-68-7,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含鄰苯二甲酸酯類成分之殘留量，不得超過100ppm。
187,Bis-(2-chloro-1-methylethyl) ether,108-60-1,
188,bis(2-Ethylhexyl) phthalate (Diethylhexyl phthalate),117-81-7,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含鄰苯二甲酸酯類成分之殘留量，不得超過100ppm。
189,Bis(2-methoxyethyl) phthalate (Dimethoxyethyl phthalate),117-82-8,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含鄰苯二甲酸酯類成分之殘留量，不得超過100ppm。
19,4-Amino-2-nitrophenol,119-34-6,
190,Bromoform (Tribromomethane),75-25-2,
191,Carbon disulfide,75-15-0,
192,Carbon tetrachloride,56-23-5,
193,Chlorobenzene,108-90-7,
194,Chloroethane (Ethyl chloride),75-00-3,
195,Chloromethane (Methyl chloride),74-87-3,
196,Crotonaldehyde,4170-30-3,
197,Daminozide,1596-84-5,
198,Dibenzofuran,132-64-9,
199,Dibromomethane (Methylenebromide),74-95-3,
2,4-Benzyloxyphenol and 4-ethoxyphenol,103-16-2/622-62-8,
20,Antimony and its compounds,7440-36-0,
200,"1,2-Dichloropropane",78-87-5,
201,"1,3-Dichlorobenzene",541-73-1,
202,"1,2-Benzenedicarboxylic acid, dipentylester, branched and linear; n-Pentyl-isopentylphthalate; di-n-Pentyl phthalate; Diisopentylphthalate",605-50-5/84777-06-0/131-18-0,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含鄰苯二甲酸酯類成分之殘留量，不得超過100ppm。
203,"3,3′-Dimethoxybenzidine (ortho-Dianisidine) and its salts",119-90-4,
204,"4,4′-Bi-o-toluidine (ortho-Tolidine)",119-93-7,
205,Diphenylamine,122-39-4,
206,Fenchlorphos,299-84-3,
207,"Hexachloro-1,3-butadiene",87-68-3,
208,Hexachlorobenzene,118-74-1,
209,Hexachloroethane,67-72-1,
21,Arsenic and its compounds,7440-38-2,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含不純物重金屬砷之殘留量，不得超過3ppm。
210,Hexachloronaphthalene,1335-87-1,
211,"2,4-Hexadienal",142-83-6,
212,"Hydrazine, its derivatives and their salts",302-01-2,
213,"4,4′-Methylenedianiline",101-77-9,
214,Iodomethane (Methyl iodide),74-88-4,
215,Naphthalene,91-20-3,
216,Nitrobenzene,98-95-3,
217,o-Aminotoluene/m-Aminotoluene/p-Aminotoluene,95-53-4/108-44-1/106-49-0,
218,Octachloronaphthalene,2234-13-1,
219,"o-Dichlorobenzene (1,2-Dichloro benzene)",95-50-1,
22,Cadmium and its compounds,7440-43-9,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含不純物重金屬鎘之殘留量，不得超過5ppm。
220,Pentachloronitrobenzene,82-68-8,
221,Propiolactone,57-57-8,
222,Pyridine,110-86-1,
223,Thiourea (Thiocarbamide),62-56-6,
224,Toxaphene,8001-35-2,
225,Tributyltin oxide (Bis(tributyltin)oxide),56-35-9,
226,"1,2,4-Trichlorobenzene",120-82-1,
227,Fentin hydroxide,76-87-9,
228,Areca catechu L.(檳榔),,
229,Asarum blumei Duch.(細辛),,
23,Cantharidine,56-25-7,
230,Brucea javanica (L.) Merr.(鴨膽子),,
231,Bufo melanostictus (蟾酥),,
232,Clematis chinensis Osbeck (威靈仙),,
233,Convallaria majalis L. (Convallaria keiskei Miq.) (鈴蘭),,
234,Coriaria sinica Maxim. (馬桑),,
235,Derris trifoliata Lour. (魚藤),,
236,"EphedraTourn. ex L, (Ephedraceae). (麻黃)",,
237,Euphorbia lathyris L. (續隨子；千金子),,
238,Illicium lanceolatum A.C. Smith (莽草),,
239,Lycoris radiata Herb. (石蒜),,
24,Chloroacetamide,79-07-2,
240,Nerium indicum Mill. (夾竹桃),,
241,Phytolacca acinosa Roxb. (商陸),,
242,Pinellia ternata (Thunb.) Breit. (半夏),,
243,Rhododendron molle G. Don (羊躑躅；鬧羊花),,
244,Sinapis alba L. (芥子),,
245,"Lead acetate, it trihydrate and derivatives",6080-56-4,
246,Acid Orange 24 (CI 20170) 不得使用於染髮用途化粧品,1320-07-6,
247,Acid Red 73 (CI 27290) 不得使用於染髮用途化粧品,5413-75-2,
248,4-Aminoazobenzene,60-09-3,
249,4-o-Tolylazo-o-toluidine,97-56-3,
25,Chloroform,67-66-3,
250,5-Amino-4-fluoro-2-methylphenol sulfate 不得使用於染髮用途化粧品,163183-01-5,
251,2-Aminomethyl-p-aminophenol and its HCl salt 不得使用於染髮用途化粧品,79352-72-0,
252,o-Anisidine,90-04-0,
253,"2,6-Bis(2-Hydroxyethoxy)-3,5-pyridinediamine and its HCl salt 不得使用於染髮用途化粧品",117907-42-3,
254,Bis(2-Methoxyethyl) ether (Dimethoxydiglycol),111-96-6,
255,4-Chloro-2-aminophenol 不得使用於染髮用途化粧品,95-85-2,
256,4-Chloroaniline,106-47-8,
257,Chromated Copper Arsenate,37337-13-6,
258,Cobalt dichloride,7646-79-9,
259,N-Cyclopentyl-m-aminophenol 不得使用於染髮用途化粧品,104903-49-3,
26,Chromium; Chromic acid and its salts,7440-47-3,化粧品色素成分使用限制表中另有規定者除外。
260,"3,4-Diaminobenzoic acid 不得使用於染髮用途化粧品",619-05-6,
261,"2,4-Diaminodiphenylamine 不得使用於染髮用途化粧品",136-17-4,
262,"4,5-Diamino-1-((4-chlorophenyl)methyl)-1H-pyrazole sulfate 不得使用於染髮用途化粧品",163183-00-4,
263,"2,4-Diamino-5-methylphenetol and its HCl salt 不得使用於染髮用途化粧品",113715-25-6,
264,"4,5-Diamino-1-methylpyrazole and its HCl salt 不得使用於染髮用途化粧品",20055-01-0/21616-59-1,
265,"N,N-Diethyl-m-aminophenol 不得使用於染髮用途化粧品",91-68-9/68239-84-9,
266,"N,N-Dimethyl-2,6-pyridinediamine and its HCl salt不得使用於染髮用途化粧品",,
267,4-Hydroxyindole 不得使用於染髮用途化粧品,2380-94-1,
268,2-Methoxymethyl-p-aminophenol and its HCl salt 不得使用於染髮用途化粧品,29785-47-5/135043-65-1,
269,"6-Methoxy-2,3-pyridinediamine and its HCl salt 不得使用於染髮用途化粧品",94166-62-8,
27,Dibutyl phthalate,84-74-2,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含鄰苯二甲酸酯類成分之總殘留量，不得超過100ppm。
270,"4-Methoxytoluene-2,5-diamine and its HCl salt 不得使用於染髮用途化粧品",56496-88-9,
271,6-Methoxy-m-toluidine (p-Cresidine),120-71-8,
272,N-Methylacetamide,79-16-3,
273,"4,4'-Methylenedi-o-toluidine",838-88-0,
274,N-(2-Methoxyethyl)-p-phenylenediamine and its HCl salt 不得使用於染髮用途化粧品,72584-59-9/66566-48-1,
275,"1,7-Naphthalenediol 不得使用於染髮用途化粧品",575-38-2,
276,"2,3-Naphthalenediol 不得使用於染髮用途化粧品",92-44-4,
277,5-Nitro-o-toluidine/5-Nitro-o-toluidine hydrochloride,99-55-8/51085-52-0,
278,Diphenylether; octabromo derivate,32536-52-0,
279,"4,4′-Oxydianiline (p-Aminophenyl ether) and its salts",101-80-4,
28,Dichlorophen,97-23-4,
280,Pentabromodiphenyl ether,32534-81-9,
281,Solvent Red 1 (CI 12150) 不得使用於染髮用途化粧品,1229-55-6,
282,"4,4′-Thiodianiline and its salts",139-65-1,
283,"2,4,5-Trimethylaniline/2,4,5-Trimethylaniline hydrochloride",137-17-7/21436-97-5,
284,Di-n-octyl phthalate,117-84-0,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含鄰苯二甲酸酯類成分之殘留量，不得超過100ppm。
285,6-Amino-o-cresol and its salts 不得使用於染髮用途化粧品,17672-22-9,
286,2-Amino-3-nitrophenol and its salts 不得使用於染髮用途化粧品,603-85-0,
287,"[4-[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (Basic Blue 26; CI 44045) 不得使用於染髮用途化粧品",2580-56-5,
288,"4-[(4-Aminophenyl)(4-iminocyclohexa-2,5-dien-1- ylidene)methyl]-o-toluidine and its hydrochloride salt (Basic Violet 14; CI 42510) 不得使用於染髮用途化粧品",632-99-5/3248-93-9,
289,2-Chloro-5-nitro-N-hydroxyethyl- p-phenylenediamine and its salts 不得使用於染髮用途化粧品,50610-28-1,
29,"2,6-Dimethyl-1,3-dioxan-4-yl acetate (Dimethoxane)",828-00-2,
290,"4,4'-Diaminodiphenylamine and its salts不得使用於染髮用途化粧品",537-65-5,
291,"2,4-Diamino-5-methylphenoxyethanol and its salts 不得使用於染髮用途化粧品",141614-05-3/113715-27-8,
292,"N,N-Diethyl-p-phenylenediamine and its salts 不得使用於染髮用途化粧品",6065-27-6/ 6283-63-2/93-05-0,
293,"N,N-Dimethyl-p-phenylenediamine and its salts 不得使用於染髮用途化粧品",99-98-9/6219-73-4,
294,"3-[(2-nitro-4-(trifluoromethyl)phenyl)amino]propane1,2-diol (HC Yellow No. 6) and its salts 不得使用於染髮用途化粧品",104333-00-8,
295,2-[(4-chloro-2-nitrophenyl)amino]ethanol (HC Yellow No. 12) and its salts 不得使用於染髮用途化粧品,59320-13-7,
296,"Hydroxyethyl-2,6-dinitro-p-anisidine and its salts 不得使用於染髮用途化粧品",122252-11-3,
297,Hydroxyethylaminomethyl-p-aminophenol and its salts 不得使用於染髮用途化粧品,110952-46-0/135043-63-9,
298,"6-Nitro-2,5-pyridinediamine and its salts不得使用於染髮用途化粧品",69825-83-8,
299,diethylene glycol,111-46-6,化粧品於製造過程中，如因所需使用之原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含二甘醇(diethylene glycol)之殘留量，不得超過1000ppm。
3,Bithionol,97-18-7,
30,Dioxane,123-91-1,"化粧品於製造過程中，如因所需使用之原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含1,4-二氧六圜之殘留量，不得超過100ppm。"
300,m-Phenylenediamine and its salts,108-45-2/541-69-5/541-70-8,
301,Travamide,,
302,Methyl alcohol,67-56-1,化粧品於製造過程中，如因所需使用之原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含甲醇（methyl alcohol）之殘留量，不得超過2000ppm。
303,Rhododendrol,69617-84-1,
304,Coal tars,8007-45-2,
305,Estradiol,50-28-2,
306,Estrone,53-16-7,
307,Ethinyl estradiol,57-63-6,
308,Antihistamine,,
309,Safrole (Shikimol) (黃樟素),94-59-7,使用樟科等植物原料來源成分者，其最終殘留限量如下：最終製品中所含黃樟素含量不得超過100ppm。
31,2-Ethoxyethanol and its acetate (2-Ethoxyethyl acetate),110-80-5/111-15-9,
310,Verbena essential oils (Lippia citriodora Kunth.) (馬鞭草油),8024-12-2,Verbena absolute (Lippia citriodora Kunth.)除外。
311,Costus root oil (Saussurea lappa Clarke) (木香根油),8023-88-9,
312,Fig leaf absolute (Ficus carica L.) (無花果葉萃取物),68916-52-9,
313,Alocasia cucullata (Lour.) Schott (蔔芥;尖尾姑婆芋),,
314,Amorphophallus rivieri Durieu (Amorphophallus konjac) (蒟蒻),,經精化、去毒程序而製成之食用蒟蒻除外。
315,Alocasia macrorrhiza（L.）Schott (Alocasia odora (Roxb.) K. Koch) (海芋;姑婆芋),,
316,Catharanthus roseus (L.) G. Don (長春花),,
317,Cerbera manghas L. (牛心茄子),,
318,"Ranunculus L.,(Ranunculaceae) (毛茛科毛茛屬植物)",84929-74-8,
319,Crotalaria sessiliflora L. (野百合),,
32,4-Ethoxy-m-phenylenediamine and its salts,67801-06-3/ 5862-77-1/68015-98-5/6219-69-8,
320,Dioscorea hispida Dennst. (白薯茛(大苦薯)),,
321,Gelsemium elegans Benth. (鉤吻),,
33,Fluorine compounds（as Inorganic compounds）,,口腔製劑另有規定者除外。
34,Formaldehyde（Formalin）,50-00-0,"(1)化粧品中使用DMDM Hydantoin、Imidazolidinyl urea、Quaterium 15、Benzylhemiformal、5-Bromo-5-nitro-1,3-dioxane、Bronopol、Methenamine、Sodium hydroxymethylglycinate、Diazolidinyl urea 成分作為防腐劑時，其總釋出之Free formaldehyde 量，不得超過1000ppm。(2)未添加DMDM Hydantonin、Imidazolidinyl urea、Quaterium-15、DiaZolidinyl urea、Hexamethylenetetramine、Benzylhemiformal、5-Bromo-5-nitro-1,3-dioxane、Bronopol 及Sodium hydroxymethylglycinate 等防腐劑成分，如於製造過程中，因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含游離甲醛（Free formaldehyde）之殘留量，不得超過75ppm。"
35,"HC Blue No.1（2,2'-([4-(Methylamino)-3-nitrophenyl]imino)bis(ethanol)）",2784-94-3,
36,Hydrogen peroxide,7722-84-1,使用於染髮、燙髮及牙齒美白產品當氧化劑除外。
37,p-Hydroxyanisole（4-Methoxyphenol；Hydroquinone monomethyl ether；Monobenzone）,150-76-5,
38,Lead and its compounds,7439-92-1,化粧品於製造過程中，如因所需使用原料或其他因素，且技術上無法避免，致含自然殘留微量時，則其最終製品中所含不純物重金屬鉛之殘留量，不得超過10ppm。
39,Local anesthetics（e.g.Lidocaine、Procaine）,,
4,Pilocarpine and its salts,92-13-7,
40,"1-Methoxy-2,4-diaminobenzene (2,4-Diaminoanisole; CI 76050) and its salts",615-05-4,
41,"1-Methoxy-2,5-diaminobenzene (2,5-Diaminoanisole) and its salts",5307-02-8,
42,"4-Methyl-m-phenylenediamine (Toluene-2,4-diamine) and its salts",95-80-7,
43,Methyl methacrylate,80-62-6,
44,Nitrofurantoin (INN),67-20-9,
45,"Nitrosamines e.g. Dimethylnitrosoamine; Nitrosodipropylamine; 2,2'-Nitrosoimino)bisethanol; Nitrosamine diethyl(Diethylamine, N-nitroso-)",62-75-9/621-64-7/1116-54-7/55-18-5,
46,Oestrogens,,
47,o-Phenylenediamine and its salts,95-54-5,
48,p-Phenylenediamine,106-50-3,使用於染髮產品除外。
49,Potassium bromate,7758-01-2,
5,Halogeno-salicylanilide,,
50,Pregnanediol,80-92-2,
51,Pregnenolone acetate,1778-02-5,
52,Pyrocatechol（Catechol）,120-80-9,
53,Pyrogallol,87-66-1,
54,Selenium and its compounds,7782-49-2,使用於髮類產品之Selenium disulfide除外。
55,Strontium compounds,7440-24-6,口腔製劑另有規定者除外。
56,Sulphonamides (sulphanilamide and its derivatives obtained by substitution of one or more H-atoms of the -NH2 groups) and their salts,,
57,"2-Methyl-m-phenylenediamine (Toluene-2,6-diamine)",823-40-5,
58,Trichloroacetic acid,76-03-9,
59,3-Imidazol-4-ylacrylic acid (Urocanic acid) and its ethyl ester,104-98-3/27538-35-8,
6,Boric acid,10043-35-3/11113-50-1,
60,Zirconium and its compounds,7440-67-7,"（用作色素之zirconium lakes, salts, pigments及化粧品成分使用限制表中另有規定者除外。）"
61,"Aconitum napellus L. (leaves, roots and galenical preparations)",84603-50-9,
62,Adonis vernalis L. and its preparations,84649-73-0,
63,Ammi majus and its galenical preparations,90320-46-0,
64,Anamirta cocculus L. (fruit),,
65,Apocynum cannabinum L. and its preparations,84603-51-0,
66,Aristolochic acid and its salts; Aristolochia spp. and their preparations,475-80-9/313-67-7/15918-62-4,
67,Atropa belladonna L. and its preparations,8007-93-0,
68,"Cantharides, Cantharis vesicatoria",92457-17-5,Cantharides tincture 用於髮類產品之規定，應參考化粧品成分使用限制表。
69,Chenopodium ambrosioides L. (essential oil),8006-99-3,
7,Sodium perborate,7632-04-4,
70,"Claviceps purpurea Tul., its alkaloids and galenical preparations",84775-56-4,
71,Colchicum autumnale L. and its galenical preparations,84696-03-7,
72,"Conium maculatum L. (fruit, powder, galenical preparations)",85116-75-2,
73,Croton tiglium L. (oil),8001-28-3,
74,Datura stramonium L. and its galenical preparations,84696-08-2,
75,Digitaline and all heterosides of Digitalis purpurea L.,752-61-4,
76,"Hyoscyamus niger L. (leaves, seeds, powder and galenical preparations)",84603-65-6,
77,"Ipecacuanha (Cephaelis ipecacuanha Brot. and related species) (roots, powder and galenical preparations)",8012-96-2,
78,"Juniperus sabina L. (leaves, essential oil and galenical preparations)",90046-04-1,
79,Oil from the seeds of Laurus nobilis L.,84603-73-6,
8,Sodium borate,1330-43-4,含微量Sodium borate用以乳化Beeswax及Bleached Beeswax者，不在此限，惟其含量不得超過0.76%。
80,Lobelia inflata L. and its galenical preparations,84696-23-1,
81,Physostigma venenosum Balf.,89958-15-6,
82,Phytolacca spp. and their preparations,60820-94-2/65497-07-6,
83,Pilocarpus jaborandi Holmes and its galenical preparations,84696-42-4,
84,Prunus laurocerasus L. (cherry laurel water),89997-54-6,
85,Pyrethrum album L. and its galenical preparations,,
86,Schoenocaulon officinale Lind (seeds and galenical preparations),84604-18-2,
87,Solanum nigrum L. and its galenical preparations,84929-77-1,
88,Strophanthus species and their galenical preparations,,
89,Strychnos species and their galenical preparations,,
9,Chlorofluorocarbons,,
90,"Thevetia neriifolia Juss., glycoside extract",90147-54-9,
91,Urginea scilla Steinh. and its galenical preparations,84650-62-4,
92,Veratrum spp. and their preparations,90131-91-2,
93,Arsenolite（信石）,,
94,Daphnis Genkwa Flos（芫花）,,
95,Daturae Flos（洋金花）,,
96,Euphorbiae Pallasii Radix（白狼毒）,,
97,Euphorbiae Kansui Radix（甘遂）,,
98,Hirudo（水蛭）,,
99,Hyoscyami Semen（天仙子）,,
